"Date","Subway","Subway7DayAverage"
2021-09-26,1616915,2691855.85714286
2021-09-27,2880083,2690473.57142857
2021-09-28,2934542,2677506.71428571
2021-09-29,3070509,2683590.14285714
2021-09-30,3153965,2702323.71428571
2021-10-01,3169206,2708204.42857143
2021-10-02,2066222,2698777.42857143
2021-10-03,1577642,2693167
2021-10-04,2870940,2691860.85714286
2021-10-05,3098187,2715238.71428571
2021-10-06,3147958,2726302.85714286
2021-10-07,3198045,2732600
2021-10-08,3175133,2733446.71428571
2021-10-09,2052746,2731521.57142857
2021-10-10,1499551,2720365.71428571
2021-10-11,2267498,2634159.71428571
2021-10-12,3110171,2635871.71428571
2021-10-13,3164655,2638257
2021-10-14,3248072,2645403.71428571
2021-10-15,3233854,2653792.42857143
2021-10-16,2044396,2652599.57142857
2021-10-17,1631844,2671498.57142857
2021-10-18,2989693,2774669.28571429
2021-10-19,3185458,2785424.57142857
2021-10-20,3241475,2796398.85714286
2021-10-21,3275195,2800273.57142857
2021-10-22,3232113,2800024.85714286
2021-10-23,2079731,2805072.71428571
2021-10-24,1601835,2800785.71428571
2021-10-25,3001962,2802538.42857143
2021-10-26,2707913,2734317.71428571
2021-10-27,3307634,2743769
2021-10-28,3373576,2757823.42857143
2021-10-29,3258376,2761575.28571429
2021-10-30,2046487,2756826.14285714
2021-10-31,1748679,2777803.85714286
2021-11-01,3041089,2783393.42857143
2021-11-02,2853901,2804248.85714286
2021-11-03,3301103,2803315.85714286
2021-11-04,3291525,2791594.28571429
2021-11-05,3300207,2797570.14285714
2021-11-06,2198274,2819254
2021-11-07,1891963,2839723.14285714
2021-11-08,3072454,2844203.85714286
2021-11-09,3287134,2906094.28571429
2021-11-10,3359437,2914427.71428571
2021-11-11,2927728,2862456.71428571
2021-11-12,3164764,2843107.71428571
2021-11-13,2172149,2839375.57142857
2021-11-14,1704908,2812653.42857143
2021-11-15,3117761,2819125.85714286
2021-11-16,3348316,2827866.14285714
2021-11-17,3376522,2830306.85714286
2021-11-18,3419760,2900597.14285714
2021-11-19,3323841,2923322.42857143
2021-11-20,2138098,2918458
2021-11-21,1676033,2914333
2021-11-22,3137259,2917118.42857143
2021-11-23,3293785,2909328.28571429
2021-11-24,3091878,2868664.85714286
2021-11-25,1359188,2574297.42857143
2021-11-26,2092977,2398459.71428571
2021-11-27,1882638,2361965.42857143
2021-11-28,1467414,2332162.71428571
2021-11-29,3002707,2312941
2021-11-30,3214333,2301590.71428571
2021-12-01,3333735,2336141.71428571
2021-12-02,3366133,2622848.14285714
2021-12-03,3380539,2806785.57142857
2021-12-04,2318203,2869009.14285714
2021-12-05,1737545,2907599.28571429
2021-12-06,3142556,2927577.71428571
2021-12-07,3375157,2950552.57142857
2021-12-08,3385675,2957972.57142857
2021-12-09,3440822,2968642.42857143
2021-12-10,3423782,2974820
2021-12-11,2268556,2967727.57142857
2021-12-12,1831705,2981179
2021-12-13,3127619,2979045.14285714
2021-12-14,3281294,2965636.14285714
2021-12-15,3249076,2946122
2021-12-16,3226842,2915553.42857143
2021-12-17,3118492,2871940.57142857
2021-12-18,1882956,2816854.85714286
2021-12-19,1581503,2781111.71428571
2021-12-20,2722430,2723227.57142857
2021-12-21,2703097,2640628
2021-12-22,2640159,2553639.85714286
2021-12-23,2491489,2448589.42857143
2021-12-24,1577738,2228481.71428571
2021-12-25,811945,2075480.14285714
2021-12-26,1286484,2033334.57142857
2021-12-27,2011675,1931798.14285714
2021-12-28,2172791,1856040.14285714
2021-12-29,2171073,1789027.85714286
2021-12-30,2202359,1747723.57142857
2021-12-31,1629859,1755169.42857143
2022-01-01,1029180,1786203
2022-01-02,1221306,1776891.85714286
2022-01-03,2172744,1799901.71428571
2022-01-04,2294147,1817238.28571429
2022-01-05,2272601,1831742.28571429
2022-01-06,2396085,1859417.42857143
2022-01-07,2125569,1930233.14285714
2022-01-08,1487737,1995741.28571429
2022-01-09,1103682,1978937.85714286
2022-01-10,2352277,2004585.42857143
2022-01-11,2271033,2001283.42857143
2022-01-12,2464248,2028661.57142857
2022-01-13,2529329,2047696.42857143
2022-01-14,2527746,2105150.28571429
2022-01-15,1436125,2097777.14285714
2022-01-16,1166766,2106789.14285714
2022-01-17,1602238,1999640.71428571
2022-01-18,2546425,2038982.42857143
2022-01-19,2647727,2065193.71428571
2022-01-20,2550517,2068220.57142857
2022-01-21,2570529,2074332.42857143
2022-01-22,1585292,2095642
2022-01-23,1246961,2107098.42857143
2022-01-24,2542015,2241352.28571429
2022-01-25,2706871,2264273.14285714
2022-01-26,2717000,2274169.28571429
2022-01-27,2730250,2299845.42857143
2022-01-28,2708397,2319540.85714286
